Unnamed: 0,MLE.skill1,MLE.skill2,MLE.skill3,MLE.skill4,MLE.skill5,MLE.skill6,MLE.skill7
603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0,0,0,0,0,0,0
605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,1,0,1,0,0,1,0
607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,1,1,1,1,1,1,1
609,1.0,0.0,0.0,0.0,0.0,0.0,0.0
610,1,0,1,1,1,1,0
611,1.0,0.0,0.0,0.0,0.0,0.0,0.0
612,1,0,0,0,1,0,0
613,1.0,0.0,0.0,0.0,0.0,1.0,0.0
614,0,0,1,0,0,1,1
615,1.0,0.0,0.0,0.0,1.0,1.0,0.0
616,0,0,1,0,0,0,1
617,0.0,1.0,0.0,0.0,0.0,0.0,0.0
618,0,0,1,0,0,1,0
619,0.0,0.0,0.0,0.0,0.0,1.0,0.0
620,0,0,1,0,0,0,1
621,1.0,0.0,0.0,0.0,0.0,0.0,0.0
622,0,0,1,0,0,0,0
623,1.0,1.0,1.0,1.0,1.0,1.0,1.0
624,0,0,1,0,0,0,1
625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
626,0,0,1,0,0,0,1
627,1.0,0.0,1.0,0.0,0.0,0.0,1.0
628,0,0,0,0,0,0,0
629,1.0,0.0,0.0,1.0,1.0,1.0,0.0
630,0,0,0,0,0,1,0
631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,0,0,1,0,0,1,1
633,1.0,0.0,0.0,0.0,0.0,0.0,0.0
634,1,0,0,0,1,0,0
635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,0,0,0,0,0,0,0
637,1.0,0.0,0.0,0.0,0.0,1.0,0.0
638,0,0,0,0,0,0,0
639,1.0,0.0,1.0,0.0,1.0,1.0,1.0
640,0,0,0,0,0,0,0
641,0.0,1.0,0.0,0.0,1.0,1.0,0.0
642,0,0,1,0,0,0,1
643,0.0,0.0,0.0,1.0,0.0,1.0,0.0
644,0,0,0,0,0,1,0
645,1.0,1.0,1.0,0.0,0.0,1.0,0.0
646,0,0,1,0,0,0,1
647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,0,0,1,0,0,0,0
649,1.0,0.0,1.0,0.0,0.0,1.0,1.0
650,0,0,0,0,0,0,0
651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0,0,0,0,0,0,0
653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,0,0,1,0,0,1,1
655,1.0,1.0,1.0,1.0,1.0,1.0,1.0
656,0,0,1,0,0,1,1
657,1.0,0.0,0.0,0.0,0.0,1.0,1.0
658,0,0,1,0,0,1,0
659,1.0,0.0,0.0,1.0,0.0,0.0,0.0
660,0,1,0,1,1,0,0
661,1.0,0.0,0.0,0.0,0.0,0.0,0.0
662,1,1,1,1,1,1,0
663,1.0,0.0,0.0,0.0,0.0,0.0,0.0
664,1,1,1,0,1,1,1
665,1.0,0.0,0.0,0.0,0.0,0.0,0.0
666,1,0,0,1,1,1,0
667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,1,0,0,0,1,0,1
669,1.0,0.0,0.0,0.0,0.0,0.0,0.0
670,0,1,0,0,0,1,0
671,1.0,0.0,0.0,0.0,0.0,0.0,0.0
672,0,0,0,0,1,1,0
673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,0,0,0,0,0,1,0
675,1.0,0.0,0.0,0.0,0.0,0.0,0.0
676,0,0,1,0,0,1,1
677,1.0,1.0,0.0,0.0,0.0,0.0,0.0
678,0,0,0,0,0,0,0
679,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,0,0,1,0,0,1,1
681,1.0,0.0,0.0,0.0,0.0,0.0,1.0
682,0,0,0,0,0,1,0
683,1.0,0.0,1.0,0.0,0.0,0.0,1.0
684,0,0,1,0,0,0,1
685,1.0,0.0,1.0,1.0,1.0,1.0,1.0
686,0,0,1,0,0,0,1
687,1.0,0.0,1.0,0.0,1.0,1.0,1.0
688,0,0,1,0,0,1,0
689,0.0,0.0,0.0,0.0,1.0,1.0,0.0
690,0,0,1,0,0,1,1
691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,0,0,0,0,0,1,1
693,1.0,0.0,1.0,0.0,0.0,0.0,1.0
694,1,0,1,1,1,1,0
695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,1,0,1,1,1,0,1
697,1.0,0.0,0.0,0.0,0.0,0.0,0.0
