,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
331,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
332,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0
333,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1
336,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
337,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
338,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
339,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0
340,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
344,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
345,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
346,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
347,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
348,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0
349,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
350,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
351,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
352,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
353,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
354,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
355,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
356,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
357,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
359,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
360,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
361,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
362,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0
363,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
364,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
365,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
366,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0
367,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
370,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
371,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
372,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
373,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
374,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
375,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
376,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
377,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
378,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
379,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0
380,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
381,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
382,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
383,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
385,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
386,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
387,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
388,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
389,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
390,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
391,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
392,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
393,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
395,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
397,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
398,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
401,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
402,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1
403,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
404,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
405,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
406,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
408,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
409,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
410,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
411,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
412,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
413,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
414,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
415,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0
417,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
418,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
419,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
420,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
421,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
423,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
425,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
426,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
427,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
428,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
429,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
430,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
432,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
433,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
434,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
435,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
438,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
439,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
440,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
441,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
443,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
444,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
445,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
446,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
447,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
448,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
449,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
450,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
451,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
452,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
453,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
454,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
456,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
457,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
458,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
459,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
460,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
461,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
462,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
463,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
464,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
465,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0
466,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
467,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
468,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
469,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
470,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
471,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
472,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
473,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
474,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
477,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
478,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
479,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
480,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
481,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
482,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
483,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
484,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
485,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
486,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
487,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
488,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
489,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
490,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
491,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
492,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
493,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
494,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
497,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
501,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
502,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
505,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
508,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
511,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
512,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
513,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
514,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
515,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
516,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
517,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
518,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
521,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
524,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
528,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
531,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
536,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
