,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
436,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
438,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
439,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
440,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
443,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
444,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
445,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
447,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1
448,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
449,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
450,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0
451,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
452,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
453,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
456,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
457,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0
458,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
459,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
460,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
461,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
462,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
463,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
464,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
465,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0
466,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
467,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
469,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
470,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1
471,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
472,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
473,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
474,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
477,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0
478,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
479,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
480,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1
481,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
482,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
483,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
484,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
485,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
486,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0
487,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
488,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
489,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
490,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
492,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0
493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
494,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
495,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
496,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
497,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
501,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0
502,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
505,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
506,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
508,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
509,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
511,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
512,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
513,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
514,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
515,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
516,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
518,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
520,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
521,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
527,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
528,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0
529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
531,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
536,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
